Bias/Heuristic Name,Type,Brief Description,Relevance to L&D/Leadership,Recommended Nudges
Confirmation Bias,Decision-Making,The tendency to search for, interpret, and recall information in a way that confirms one's preexisting beliefs.,Leaders may ignore critical data that contradicts their preferred strategy, hindering effective decision-making.,"Red Team Review Nudge; Dissent Round Nudge"
Anchoring Bias,Decision-Making,Relying too heavily on the first piece of information offered when making decisions.,First impressions or initial salary offers can disproportionately influence performance reviews and negotiations.,"Second Quote Nudge; Counter-Anchor Prep Nudge"
Availability Heuristic,Decision-Making,Overestimating the importance of information that is easily recalled.,Managers may overvalue recent events during performance reviews, ignoring consistent performance over the entire year.,"Lookback Range Nudge; Evidence Log Nudge"
Groupthink,Social,The desire for harmony or conformity in a group results in irrational or dysfunctional decision-making.,Teams may fail to challenge a flawed plan to avoid conflict, leading to poor project outcomes.,"Devil's Advocate Rotation Nudge; Pre-Mortem Nudge"
Authority Bias,Social,Attributing greater accuracy to an authority figure's opinion and being more influenced by it.,Employees may not speak up with innovative ideas or concerns if they contradict the manager's opinion.,"Equal Voice Nudge; Ask-Then-Tell Nudge"
Dunning-Kruger Effect,Self-Perception,People with low ability overestimate their ability.,Low-performing employees may not recognize development needs, making coaching difficult.,"Reality Check Nudge; Skill Benchmark Nudge"
Halo Effect,Social,An impression in one area influences opinion in another.,A manager may rate an employee highly on all competencies just because they are good at presentations.,"Separate the Axes Nudge; Criteria Checklist Nudge"
Horns Effect,Social,One negative trait colors perception of unrelated traits.,A single mistake can unfairly color a manager's entire perception of performance.,"Fresh Start Frame Nudge; Evidence Balance Nudge"
In-group Bias,Social,Favoring one's own group over others.,Leaders may unintentionally favor their own team for promotions or resources.,"Blind Audition Nudge; Rotation Panel Nudge"
Sunk Cost Fallacy,Decision-Making,Continuing a behavior due to previously invested resources.,Leaders may continue to fund a failing project rather than cutting losses.,"Exit Criteria Nudge; Stop-Loss Rule Nudge"
Self-Serving Bias,Self-Perception,Attributing successes to self and failures to external factors.,Leaders may take credit for wins but blame the team for failures.,"Shared Credit Nudge; After-Action Roles Nudge"
Fundamental Attribution Error,Social,Over-emphasizing personality explanations while under-emphasizing situational ones.,Managers may assume laziness over workload issues.,"Situation First Nudge; Constraint Scan Nudge"
Bandwagon Effect,Social,Doing or believing things because others do.,Teams may adopt trendy but unsuitable practices.,"Pilot First Nudge; Counterfactual Trial Nudge"
Status Quo Bias,Decision-Making,Preference for the current state of affairs.,Leaders may resist necessary changes or innovations.,"Default Flip Nudge; Trial Change Window Nudge"
Recency Bias,Memory,Weighing recent events more heavily.,Recent performance overshadows earlier months.,"Year-in-Review Nudge; Time-Weighted Score Nudge"
Peak-End Rule,Memory,Judging experiences by the peak and the end.,A tough project may be remembered positively after a celebratory finish.,"Journey Map Nudge; End-on-a-High Nudge"
IKEA Effect,Motivation,Overvaluing things we helped create.,Employees commit more to initiatives they co-create.,"Co-Design Workshop Nudge; Draft-then-Refine Nudge"
Not Invented Here (NIH) Bias,Innovation,Aversion to external ideas or practices.,Teams may resist adopting best practices from other departments.,"Borrow-and-Adapt Nudge; External Case Swap Nudge"
Optimism Bias,Decision-Making,Overly optimistic planning and risk estimates.,Leaders underestimate risks and timelines.,"Risk Register Nudge; Buffer Block Nudge"
Pessimism Bias,Decision-Making,Overestimating the probability of negative events.,Leaders may be too risk-averse.,"Opportunity Scan Nudge; Scenario Balance Nudge"
Blind Spot Bias,Self-Perception,Seeing oneself as less biased than others.,Leaders may miss their own flawed processes.,"Bias Self-Audit Nudge; Mirror Mentor Nudge"
Planning Fallacy,Decision-Making,Underestimating time, costs, and risks.,Leads to missed deadlines and budget overruns.,"Reference Class Forecast Nudge; 2x Time Rule Nudge"
Reactance,Motivation,Resistance to perceived constraints on freedom.,Micromanagement leads to underperformance or resistance.,"Choice Menu Nudge; Why-Behind-Rule Nudge"
Zero-Risk Bias,Decision-Making,Preferring elimination of a small risk over a greater total reduction.,Overinvestment to eliminate small risks while ignoring bigger ones.,"Risk Pie Chart Nudge; Marginal Gain Nudge"
Social Loafing,Social,Less effort in groups than individually.,Decreased productivity in teams if contributions are not visible.,"Visible Contribution Nudge; Micro-Ownership Nudge"
Bystander Effect,Social,Less likely to act when more people are present.,No one takes responsibility for critical action items.,"Name the Owner Nudge; First Responder Rotation Nudge"
Curse of Knowledge,Communication,Assuming others have the same background knowledge.,Leaders use jargon and lose clarity.,"Jargon Check Nudge; Teach-Back Nudge"
Hindsight Bias,Memory,Seeing past events as more predictable than they were.,Unfair blame after outcomes.,"Decision Journal Nudge; Pre-Commit Rationale Nudge"
Outcome Bias,Decision-Making,Judging decisions by outcomes rather than process quality.,Success reinforces poor decision processes.,"Quality-of-Process Score Nudge; Decision Gate Nudge"
Survivorship Bias,Decision-Making,Focusing on successes while ignoring failures.,Ignoring lessons from failed cases.,"Failure Gallery Nudge; Base Rate Brief Nudge"
Stereotyping,Social,Attributing traits to a group.,Unfair hiring and promotion decisions.,"Structured Interview Nudge; Criteria-First Nudge"
Automation Bias,Decision-Making,Over-reliance on automated systems.,Trust in flawed reports or AI without scrutiny.,"Trust-but-Verify Nudge; Sanity Check Nudge"
Choice Overload,Decision-Making,Difficulty choosing when faced with many options.,Too many courses chosen leads to choosing none.,"Curated Shortlist Nudge; Default Pick Nudge"
Default Effect,Decision-Making,Sticking with default options.,Enrollment defaults increase participation.,"Smart Default Nudge; Opt-Out Transparency Nudge"
Endowment Effect,Decision-Making,Overvaluing owned things.,Leaders overvalue their own team's projects.,"Swap Seats Nudge; Third-Party Review Nudge"
False Consensus Effect,Social,Overestimating how much others share our beliefs.,Hidden concerns remain undiscovered.,"Anonymous Pulse Nudge; Devil's Advocate Nudge"
Functional Fixedness,Problem-Solving,Limiting use to traditional functions.,Hinders creative problem-solving.,"Alternative Uses Nudge; Constraint Lift Nudge"
Gambler's Fallacy,Decision-Making,Belief that past frequency affects future probability.,Stopping a successful strategy due to 'hot streak' fears.,"Roll-the-Dice Data Nudge; Sequence Reality Nudge"
Hot-Hand Fallacy,Decision-Making,Belief that success breeds near-term success.,Over-reliance on a star employee.,"Load Balance Nudge; Pair the Star Nudge"
Hyperbolic Discounting (Present Bias),Motivation,Preference for smaller-sooner rewards over larger-later.,Focus on easy tasks over strategic projects.,"Time Block Nudge; Future Self Letter Nudge"
Identifiable Victim Effect,Decision-Making,Greater aid to specific individuals over groups.,Budget more easily approved for one team than broad initiatives.,"Aggregate the Story Nudge; Persona Panel Nudge"
Illusion of Control,Self-Perception,Overestimating control over events.,Lack of contingency planning.,"Risk Pre-Commit Nudge; Trigger Threshold Nudge"
Illusion of Transparency,Communication,Overestimating how clear one's mental state is to others.,Leaders think instructions are clear when they are not.,"Ask 3 Back Nudge; Clarity Checklist Nudge"
Illusory Superiority (Better-than-average effect),Self-Perception,Overestimating one's abilities relative to others.,Most rate themselves 'above average', complicating reviews.,"Peer Calibration Nudge; 360 Reality Nudge"
Impact Bias,Decision-Making,Overestimating intensity/duration of future emotions.,Avoiding feedback due to imagined reactions.,"Feedback Script Nudge; Cooling-Off Timer Nudge"
Information Bias,Decision-Making,Seeking information that won’t affect action.,Analysis paralysis.,"Decision Deadline Nudge; Actionable-Only Data Nudge"
Law of the Instrument (Maslow's Hammer),Problem-Solving,Over-reliance on a familiar tool.,Solving all problems with spreadsheets.,"Toolbox Expand Nudge; Trial a New Tool Nudge"
Less-is-better Effect,Decision-Making,Preferring smaller option when evaluated alone.,Simple training perceived more valuable.,"Scope to Impact Nudge; Minimum Viable Program Nudge"
Loss Aversion,Decision-Making,Preferring avoiding losses to acquiring equivalent gains.,Stronger motivation to avoid small cuts than pursue gains.,"Reframe to Gains Nudge; Loss/Gain Table Nudge"
Negativity Bias,Perception,Greater recall of unpleasant memories.,One miss remembered over many hits.,"Positives Log Nudge; 3-to-1 Ratio Nudge"
Omission Bias,Decision-Making,Judging harmful actions worse than equally harmful omissions.,Failing to stop bad projects seen as less of a failure.,"Stop-the-Clock Nudge; Do-Something Rule Nudge"
Ostrich Effect,Decision-Making,Ignoring obvious negative situations.,Avoiding poor survey results.,"Open the Dashboard Nudge; Red Flag Review Nudge"
Pro-innovation Bias,Innovation,Excessive optimism toward innovations, underestimating limits.,Rushed tech adoption.,"Pilot-and-Prove Nudge; Kill Criteria Nudge"
Pseudocertainty Effect,Decision-Making,Risk-averse under positive frames, risk-seeking to avoid losses.,Inconsistent risk management.,"Two-Frame Review Nudge; Expected Value Card Nudge"
Rhyme-as-reason Effect,Communication,Rhyming statements perceived as more truthful.,Catchy messages persuade without substance.,"Plain Language Nudge; Counter-Rhyme Test Nudge"
Risk Compensation / Peltzman Effect,Decision-Making,Taking more risks when perceived safety increases.,Complacency after perfect safety record.,"Near-Miss Log Nudge; Safety Check Pulse Nudge"
Selective Perception,Perception,Not noticing or forgetting discomforting stimuli.,Manager may not 'hear' negative feedback.,"Opposite Case Nudge; Shadow Listen Nudge"
Social Desirability Bias,Social,Answering to be viewed favorably.,Inaccurate engagement surveys.,"Anonymous Mode Nudge; Honest Answer Prompt Nudge"
Spotlight Effect,Self-Perception,Overestimating how much others notice us.,Fear to ask questions in meetings.,"Question Ticket Nudge; Safe Curiosity Nudge"
Texas Sharpshooter Fallacy,Decision-Making,Fitting a hypothesis to data after the fact.,Retro justification of decisions.,"Define Targets First Nudge; Out-of-Sample Test Nudge"
Third-person Effect,Communication,Belief media affects others more than oneself.,Leaders think negative press won’t affect team.,"Team Temperature Check Nudge; Share the Why Nudge"
Time-saving Bias,Decision-Making,Misestimation of time saved by speed changes.,Poor planning and time allocation.,"Time Math Nudge; Throughput Chart Nudge"
Unit Bias,Decision-Making,Desire to finish a given unit.,Sitting through long unproductive meetings.,"90-Minute Cap Nudge; Agenda Owner Nudge"
Well-traveled Road Effect,Perception,Overestimating new-route time, underestimating familiar-route time.,Underestimating innovative project time.,"New Route Buffer Nudge; Check Past Analog Nudge"
Zeigarnik Effect,Memory,Remembering uncompleted tasks better than completed ones.,Keep projects top-of-mind by leaving them open.,"Next Small Step Nudge; Open Loop Reminder Nudge"
Action Bias,Decision-Making,Favoring action over inaction in ambiguity.,Doing something when waiting is better.,"10-Min Pause Nudge; Decision Tree Nudge"
