Driver Card Title,Type Identifier,Associated Framework(s),Driver Chain,L&D Outcome,Metric Type,Data Collection,Frequency,Recommended Nudges
Growth Mindset,CONCEPT,The Five Practices of Exemplary Leadership,"Drives: Embracing challenges, Seeking constructive feedback; Measured by: Skill Application Rate; Leads to: Increased Resilience, Faster Skill Development",Development & Resilience,Foundational,Survey/Assessment,Annually,"Feedback Loop Nudge; Challenge Assignment Nudge"
Giving Recognition,BEHAVIOR,The Five Practices of Exemplary Leadership,"Driven by: Empathy, Social Awareness; Measured by: Recognition Frequency, eNPS; Leads to: Increased Employee Engagement, Improved Team Morale",Engagement,Behavioral,360/Manager Feedback,Quarterly,"Kudos Ritual Nudge; Peer Shoutout Nudge"
Time to Productivity,KPI,Situational Leadership,"Measures: Effective Onboarding, Manager Coaching; Indicates: Learning Agility; Leads to: Faster ROI on New Hires",Productivity,Operational,HRIS/Business Data,Per New Hire Cohort,"First-Week Goals Nudge; Shadow Day Nudge"
Improved Employee Retention,OUTCOME,Goleman's Emotional Intelligence,"Driven by: Conducting 1-on-1s, Providing development opportunities; Measured by: Employee Turnover Rate",Retention,Strategic,HRIS Data,Quarterly,"Stay Interview Nudge; Growth Plan Nudge"
Psychological Safety,CONCEPT,Goleman's Emotional Intelligence,"Drives: Voicing dissenting opinions, Admitting mistakes; Measured by: Psychological Safety Score; Leads to: Higher Team Innovation",Innovation & Engagement,Foundational,Survey/Assessment,Quarterly,"Blameless Postmortem Nudge; Speak-Up Round Nudge"
Delegating with Autonomy,BEHAVIOR,Situational Leadership,"Driven by: Trust, Psychological Safety; Measured by: Delegation Effectiveness Score; Leads to: Increased Team Capacity",Productivity & Development,Behavioral,360/Manager Feedback,Biannually,"Decision Rights Clarifier Nudge; Autonomy Agreement Nudge"
Employee Net Promoter Score (eNPS),KPI,The Five Practices of Exemplary Leadership,"Measures: Giving recognition, Inspiring a shared vision; Indicates: Employee Engagement; Leads to: Improved Employee Retention",Engagement,Assessment,Survey/Assessment,Quarterly,"Pulse Check Reminder Nudge; Gratitude Friday Nudge"
Increased Team Innovation,OUTCOME,The Five Practices of Exemplary Leadership,"Driven by: Challenging the process, Fostering collaboration; Measured by: Innovation Rate",Innovation,Strategic,Business/Project Data,Annually,"Idea Pitch Day Nudge; Experiment Log Nudge"
Trust,CONCEPT,Strengths-Based Leadership,"Drives: Sharing information openly, Empowering others; Measured by: Team Cohesion Score; Leads to: Increased Psychological Safety",Engagement,Foundational,Survey/Assessment,Biannually,"Transparency Update Nudge; Trust Contract Nudge"
Active Listening,BEHAVIOR,Goleman's Emotional Intelligence,"Driven by: Empathy, Social Awareness; Measured by: 360 Feedback Score; Leads to: Improved Team Relationships, Reduced Misunderstandings",Collaboration,Behavioral,360/Manager Feedback,Biannually,"Paraphrase Check Nudge; Two-Beat Pause Nudge"
Skill Application Rate,KPI,Situational Leadership,"Measures: Effective Coaching, On-the-job training; Indicates: Learning Agility; Leads to: Higher ROI on Training",Development,Assessment,Manager Assessment,Quarterly,"Practice Sprint Nudge; Transfer Checklist Nudge"
Higher Productivity,OUTCOME,Strengths-Based Leadership,"Driven by: Effective goal setting, Removing obstacles; Measured by: Productivity Index, On-Time Delivery Rate",Productivity,Strategic,Business/Project Data,Quarterly,"Weekly Focus Nudge; Blocker Bust Nudge"
Empathy,CONCEPT,Goleman's Emotional Intelligence,"Drives: Understanding others' perspectives, Showing compassion; Measured by: 360 Feedback Score; Leads to: Stronger Team Relationships",Collaboration,Foundational,Survey/Assessment,Annually,"Perspective-Taking Nudge; Walk-a-Mile Nudge"
Providing Constructive Feedback,BEHAVIOR,Situational Leadership,"Driven by: Social Awareness; Measured by: Coaching Effectiveness Score; Leads to: Faster Skill Development",Development,Behavioral,360/Manager Feedback,Quarterly,"SBI Template Nudge; Feedback Window Nudge"
Coaching Effectiveness Score,KPI,Situational Leadership,"Measures: Active Listening, Providing constructive feedback; Indicates: Manager Capability; Leads to: Improved Employee Performance",Development,Assessment,Survey/Assessment,Biannually,"Coaching Journal Nudge; Practice Coaching Circle Nudge"
Improved Team Morale,OUTCOME,The Five Practices of Exemplary Leadership,"Driven by: Encouraging the heart, Celebrating successes; Measured by: eNPS, Team Cohesion Score",Engagement,Strategic,Survey/Assessment,Quarterly,"Shoutout Chain Nudge; Win of the Week Nudge"
Resilience,CONCEPT,Strengths-Based Leadership,"Drives: Persisting through setbacks, Adapting to change; Measured by: Stress & Resilience Survey Score; Leads to: Reduced Burnout",Well-being,Foundational,Survey/Assessment,Annually,"Recovery Microbreak Nudge; Normalize Setbacks Nudge"
Challenging the Process,BEHAVIOR,The Five Practices of Exemplary Leadership,"Driven by: Growth Mindset; Measured by: Innovation Rate; Leads to: Continuous Improvement",Innovation,Behavioral,Manager Assessment,Quarterly,"5% Experiment Nudge; Assumption Test Nudge"
Innovation Rate,KPI,The Five Practices of Exemplary Leadership,"Measures: Challenging the process, Fostering collaboration; Indicates: Creative Output; Leads to: Increased Market Competitiveness",Innovation,Operational,Business/Project Data,Annually,"Experiment Backlog Nudge; Demo Day Nudge"
Faster Skill Development,OUTCOME,Situational Leadership,"Driven by: Effective coaching, Providing feedback; Measured by: Skill Application Rate, Time to Proficiency",Development,Strategic,HRIS/Manager Data,Per Employee,"Stretch Assignment Nudge; Deliberate Practice Nudge"
Intrinsic Motivation,CONCEPT,Goleman's Emotional Intelligence,"Drives: Seeking challenges, Finding purpose in work; Measured by: Voluntary Learning Hours; Leads to: Higher Engagement, Increased Creativity",Engagement,Foundational,Survey/Assessment,Annually,"Purpose Reminder Nudge; Learning Hour Nudge"
Setting Clear Expectations,BEHAVIOR,Situational Leadership,"Driven by: Directing (S1); Measured by: Goal Achievement Rate; Leads to: Reduced Ambiguity, Higher Accountability",Productivity,Behavioral,Manager Assessment,Quarterly,"Definition of Done Nudge; Expectations Check Nudge"
Goal Achievement Rate,KPI,Strengths-Based Leadership,"Measures: Setting clear expectations, Executing tasks; Indicates: Team Performance; Leads to: Higher Productivity",Productivity,Operational,Business/Project Data,Quarterly,"Quarterly OKR Nudge; Progress Pulse Nudge"
Increased Accountability,OUTCOME,Strengths-Based Leadership,"Driven by: Setting clear expectations, Tracking progress; Measured by: On-Time Delivery Rate, Quality Score",Productivity,Strategic,Business/Project Data,Quarterly,"Owner of the Week Nudge; Public Commitment Nudge"
Self-Awareness,CONCEPT,Goleman's Emotional Intelligence,"Drives: Recognizing own emotions, Understanding own strengths; Measured by: 360 Feedback Score; Leads to: Improved Decision-Making",Development,Foundational,Survey/Assessment,Annually,"Reflection Prompt Nudge; Johari Window Nudge"
Fostering Collaboration,BEHAVIOR,The Five Practices of Exemplary Leadership,"Driven by: Trust, Empathy; Measured by: Collaboration Index; Leads to: Cross-Functional Success",Collaboration,Behavioral,360/Manager Feedback,Biannually,"Partner Up Nudge; Cross-Share Nudge"
Collaboration Index,KPI,Goleman's Emotional Intelligence,"Measures: Fostering collaboration, Sharing information; Indicates: Team Cohesion; Leads to: Faster Project Completion",Collaboration,Assessment,Survey/Assessment,Biannually,"Collab Retro Nudge; Signal-Boost Nudge"
Cross-Functional Success,OUTCOME,The Five practices of Exemplary Leadership,"Driven by: Fostering collaboration, Building networks; Measured by: Cross-Functional Collaboration Rate",Collaboration,Strategic,Business/Project Data,Quarterly,"Connector Map Nudge; Boundary Spanner Nudge"
Accountability,CONCEPT,Strengths-Based Leadership,"Drives: Taking ownership of results, Following through on commitments; Measured by: Goal Achievement Rate; Leads to: Increased Trust",Productivity,Foundational,Survey/Assessment,Annually,"Commitment Contract Nudge; Dependency Check Nudge"
Empowering Others,BEHAVIOR,The Five Practices of Exemplary Leadership,"Driven by: Trust, Delegating with Autonomy; Measured by: Intrinsic Motivation Score; Leads to: Increased Team Capacity",Development,Behavioral,360/Manager Feedback,Biannually,"Delegate-to-Develop Nudge; Challenge with Support Nudge"
Voluntary Learning Hours,KPI,Goleman's Emotional Intelligence,"Measures: Intrinsic Motivation, Growth Mindset; Indicates: Engagement in Development; Leads to: Faster Skill Development",Development,Behavioral,LMS/HRIS Data,Quarterly,"Learning Streak Nudge; Curiosity Prompt Nudge"
Increased Team Capacity,OUTCOME,Situational Leadership,"Driven by: Empowering others, Delegating with autonomy; Measured by: Team Productivity Index",Productivity,Strategic,Business/Project Data,Biannually,"Capacity Planning Nudge; Load-Balance Nudge"
Learning Agility,CONCEPT,Situational Leadership,"Drives: Learning from experience, Seeking new challenges; Measured by: Skill Application Rate; Leads to: Adaptability to Change",Development,Foundational,Survey/Assessment,Annually,"After-Action Review Nudge; Rotate to Learn Nudge"
Adapting to Change,BEHAVIOR,Goleman's Emotional Intelligence,"Driven by: Resilience, Learning Agility; Measured by: Change Adoption Rate; Leads to: Organizational Agility",Resilience,Behavioral,Manager Assessment,Per Initiative,"What If Plan Nudge; Pilot First Nudge"
Change Adoption Rate,KPI,Goleman's Emotional Intelligence,"Measures: Adapting to change, Effective communication; Indicates: Organizational Agility; Leads to: Successful Change Initiatives",Resilience,Operational,Project Data,Per Initiative,"Early Adopter Nudge; Quick Win Nudge"
Organizational Agility,OUTCOME,The Five Practices of Exemplary Leadership,"Driven by: Adapting to change, Challenging the process; Measured by: Change Adoption Rate",Resilience,Strategic,Business Data,Annually,"Barrier Bust Nudge; Option B Nudge"
Burnout,CONCEPT,Goleman's Emotional Intelligence,"Drives: Chronic stress, Lack of support; Measured by: Absenteeism Rate, eNPS; Leads to: Increased Turnover",Well-being,Foundational,Survey/Assessment,Biannually,"Micro-Rest Nudge; Ask for Help Nudge"
Supporting Team Well-being,BEHAVIOR,Goleman's Emotional Intelligence,"Driven by: Empathy, Social Awareness; Measured by: Absenteeism Rate; Leads to: Reduced Burnout",Well-being,Behavioral,360/Manager Feedback,Quarterly,"Check-in Question Nudge; Load Smoothing Nudge"
Absenteeism Rate,KPI,Goleman's Emotional Intelligence,"Measures: Supporting team well-being; Indicates: Burnout, Low Engagement; Leads to: Decreased Productivity",Well-being,Operational,HRIS Data,Monthly,"Return-to-Wellbeing Nudge; Track Energy Nudge"
Reduced Burnout,OUTCOME,Goleman's Emotional Intelligence,"Driven by: Supporting team well-being, Managing workloads; Measured by: Absenteeism Rate",Well-being,Strategic,HRIS/Survey Data,Quarterly,"No-Meeting Block Nudge; Recovery Ritual Nudge"
Clarity of Role,CONCEPT,Situational Leadership,"Drives: Clear communication, Defined responsibilities; Measured by: Time to Productivity; Leads to: Higher Efficiency",Productivity,Foundational,Survey/Assessment,Annually,"Role Canvas Nudge; Definition of Ready Nudge"
Effective Onboarding,BEHAVIOR,Situational Leadership,"Driven by: Setting clear expectations, Providing support; Measured by: Time to Productivity; Leads to: Faster ROI on New Hires",Productivity,Behavioral,Manager Assessment,Per New Hire,"Onboarding Buddy Nudge; 30-60-90 Nudge"
Recognition Frequency,KPI,The Five Practices of Exemplary Leadership,"Measures: Giving recognition; Indicates: Positive Reinforcement; Leads to: Improved Team Morale",Engagement,Behavioral,HRIS/Platform Data,Monthly,"Praise Prompt Nudge; Recognition Calendar Nudge"
Improved Employer Brand,OUTCOME,The Five Practices of Exemplary Leadership,"Driven by: High employee engagement, Positive culture; Measured by: eNPS, Applicant per Opening",Talent Acquisition,Strategic,HR/Marketing Data,Annually,"Glassdoor Care Nudge; Candidate Experience Nudge"
Executive Presence,CONCEPT,Strengths-Based Leadership,"Drives: Confident communication, Composure under pressure; Measured by: 360 Feedback Score; Leads to: Increased Influence",Influence,Foundational,Survey/Assessment,Annually,"Pause-Breathe-Speak Nudge; Message Map Nudge"
Influencing Stakeholders,BEHAVIOR,Strengths-Based Leadership,"Driven by: Executive Presence, Building relationships; Measured by: Stakeholder Satisfaction Score; Leads to: Project Buy-in",Influence,Behavioral,360/Manager Feedback,Biannually,"Stakeholder Map Nudge; Pre-Wire Nudge"
Stakeholder Satisfaction Score,KPI,Strengths-Based Leadership,"Measures: Influencing stakeholders, Managing expectations; Indicates: Cross-functional effectiveness; Leads to: Smoother Project Execution",Influence,Assessment,Survey,Quarterly,"Expectation Reset Nudge; Feedback Loop Nudge"
Successful Change Initiatives,OUTCOME,Goleman's Emotional Intelligence,"Driven by: Adapting to change, Influencing stakeholders; Measured by: Change Adoption Rate",Resilience,Strategic,Project Data,Per Initiative,"Sponsor Ally Nudge; Celebrate Wins Nudge"
Continuous Improvement,OUTCOME,The Five Practices of Exemplary Leadership,"Driven by: Challenging the process, Learning from mistakes; Measured by: Cycle Time Reduction, Quality Score",Productivity,Strategic,Business/Project Data,Quarterly,"Retrospective Habit Nudge; One Small Fix Nudge"
